# The data in this file was extracted from a direct numerical
# simulation of fully developed plane turbulent channel
# flow. Particulars are listed below. Note that some of the statistical
# quantities provided in this data set should be zero due to
# (statistical) symmetries in the flow. These quantities are reported
# here none-the-less as an indicator of the quality of the statistics.
# more statistics from this data set are available at 
# http://www.tam.uiuc.edu/Faculty/Moser/channel 
#
# Authors: Moser, Kim & Mansour
# Reference: DNS of Turbulent Channel Flow up to Re_tau=590, 1999,
#            Physics of Fluids, vol 11, 943-945.
# Numerical Method: Kim, Moin & Moser, 1987, J. Fluid Mech. vol 177, 133-166 
# Re_tau = 392.24
# Normalization: U_tau, h 
# Description: Mean velocities and their derivatives and mean pressure 
# Filename: chan395/profiles/chan395.means 
# Date File Created: Mar 01, 2000 
#
#---End of Header---
# 
# ny = 257,  Re = 392.24
  
       y+               u+              k+            R_uv   
   0.0000000e+00   0.0000000e+00   4.7141120e-28   1.1206000e-30
   2.9535000e-02   2.9538000e-02   7.5913238e-05  -2.4414000e-08
   1.1814000e-01   1.1811000e-01   1.2039894e-03  -1.5728000e-06
   2.6579000e-01   2.6562000e-01   6.0239115e-03  -1.8113000e-05
   4.7248000e-01   4.7198000e-01   1.8748176e-02  -1.0324000e-04
   7.3816000e-01   7.3701000e-01   4.4934406e-02  -4.0027000e-04
   1.0628000e+00   1.0605000e+00   9.1224624e-02  -1.2143000e-03
   1.4464000e+00   1.4417000e+00   1.6501562e-01  -3.1009000e-03
   1.8888000e+00   1.8799000e+00   2.7396481e-01  -6.9486000e-03
   2.3900000e+00   2.3729000e+00   4.2507516e-01  -1.4015000e-02
   2.9499000e+00   2.9177000e+00   6.2329008e-01  -2.5858000e-02
   3.5684000e+00   3.5093000e+00   8.6982040e-01  -4.4135000e-02
   4.2455000e+00   4.1409000e+00   1.1604780e+00  -7.0276000e-02
   4.9810000e+00   4.8032000e+00   1.4852656e+00  -1.0513000e-01
   5.7748000e+00   5.4854000e+00   1.8290160e+00  -1.4869000e-01
   6.6268000e+00   6.1754000e+00   2.1739868e+00  -1.9999000e-01
